date,slot,home,away,prediction,actual_winner,correct,confidence,ml_home_prob,ml_away_prob,ml_intervened,pattern_reason,home_win_desc,away_win_desc,slot_fav_desc,bm_label,actual,home_score,away_score,winner
2026-04-28,3.0,NC Dinos,KIA Tigers,HOME(NC Dinos),NC Dinos,1.0,0.85,0.66,0.34,False,,,,,,,,,
2026-04-28,4.0,Lotte Giants,Kiwoom Heroes,HOME(Lotte Giants),Lotte Giants,1.0,0.78,0.56,0.44,False,,,,,,,,,
2026-04-28,5.0,KT Wiz Suwon,LG Twins,HOME(KT Wiz Suwon),KT Wiz Suwon,1.0,0.85,0.545,0.455,False,,,,,,,,,
2026-04-29,1.0,Doosan Bears,Samsung Lions,AWAY(Samsung Lions),Doosan Bears,0.0,0.85,0.57,0.43,False,,,,,,,,,
2026-04-29,2.0,Hanwha Eagles,SSG Landers,HOME(Hanwha Eagles),SSG Landers,0.0,0.85,0.64,0.36,False,,,,,,,,,
2026-04-29,3.0,NC Dinos,KIA Tigers,HOME(NC Dinos),KIA Tigers,0.0,0.85,0.605,0.395,False,,,,,,,,,
2026-04-29,4.0,Lotte Giants,Kiwoom Heroes,HOME(Lotte Giants),Kiwoom Heroes,0.0,0.85,0.68,0.32,False,,,,,,,,,
2026-04-29,5.0,KT Wiz Suwon,LG Twins,HOME(KT Wiz Suwon),KT Wiz Suwon,1.0,0.85,0.56,0.44,False,,,,,,,,,
2026-04-30,1.0,Doosan Bears,Samsung Lions,HOME(Doosan Bears),Doosan Bears,1.0,0.85,0.525,0.475,False,,,,,,,,,
2026-04-30,2.0,Hanwha Eagles,SSG Landers,AWAY(SSG Landers),SSG Landers,1.0,0.85,0.565,0.435,False,,,,,,,,,
2026-04-30,3.0,NC Dinos,KIA Tigers,AWAY(KIA Tigers),NC Dinos,0.0,0.85,0.545,0.455,False,,,,,,,,,
2026-04-30,4.0,Lotte Giants,Kiwoom Heroes,AWAY(Kiwoom Heroes),Lotte Giants,0.0,0.85,0.61,0.39,False,,,,,,,,,
2026-04-30,5.0,KT Wiz Suwon,LG Twins,PASS,LG Twins,,0.0,0.54,0.46,False,,,,,,,,,
2026-05-01,1.0,Kiwoom Heroes,Doosan Bears,HOME(Kiwoom Heroes),Doosan Bears,0.0,0.615,0.615,0.385,True,,,,,,,,,
2026-05-01,2.0,Samsung Lions,Hanwha Eagles,PASS,Samsung Lions,,0.0,0.53,0.47,False,,,,,,,,,
2026-05-01,3.0,KIA Tigers,KT Wiz Suwon,PASS,KT Wiz Suwon,,0.0,0.505,0.495,False,,,,,,,,,
2026-05-01,4.0,LG Twins,NC Dinos,PASS,LG Twins,,0.0,0.57,0.43,False,,,,,,,,,
2026-05-01,5.0,SSG Landers,Lotte Giants,PASS,Lotte Giants,,0.0,0.53,0.47,False,,,,,,,,,
2026-05-02,1.0,SSG Landers,Lotte Giants,HOME(SSG Landers),Lotte Giants,0.0,0.62,0.62,0.38,True,,,,,,,,,
2026-05-02,2.0,Kiwoom Heroes,Doosan Bears,HOME(Kiwoom Heroes),Kiwoom Heroes,1.0,0.78,0.565,0.435,False,,,,,,,,,
2026-05-02,3.0,Samsung Lions,Hanwha Eagles,HOME(Samsung Lions),Hanwha Eagles,0.0,0.59,0.59,0.41,True,,,,,,,,,
2026-05-02,4.0,KIA Tigers,KT Wiz Suwon,PASS,KIA Tigers,,0.0,0.56,0.44,False,,,,,,,,,
2026-05-02,5.0,LG Twins,NC Dinos,HOME(LG Twins),LG Twins,1.0,0.85,0.555,0.445,False,,,,,,,,,
2026-05-03,1.0,Kiwoom Heroes,Doosan Bears,HOME(Kiwoom Heroes),Doosan Bears,0.0,0.85,0.59,0.41,False,,,,,,,,,
2026-05-03,2.0,Samsung Lions,Hanwha Eagles,AWAY(Hanwha Eagles),Samsung Lions,0.0,0.85,0.66,0.34,False,,,,,,,,,
2026-05-03,3.0,KIA Tigers,KT Wiz Suwon,HOME(KIA Tigers),KT Wiz Suwon,0.0,0.85,0.535,0.465,False,,,,,,,,,
2026-05-03,4.0,LG Twins,NC Dinos,HOME(LG Twins),NC Dinos,0.0,0.85,0.72,0.28,False,,,,,,,,,
2026-05-03,5.0,SSG Landers,Lotte Giants,AWAY(Lotte Giants),Lotte Giants,1.0,0.85,0.585,0.415,False,,,,,,,,,
2026-05-05,1.0,LG Twins,Doosan Bears,AWAY(Doosan Bears),LG Twins,0.0,0.85,0.56,0.44,False,,,,,,,,,
2026-05-05,2.0,KIA Tigers,Hanwha Eagles,HOME(KIA Tigers),KIA Tigers,1.0,0.635,0.635,0.365,True,,,,,,,,,
2026-05-05,3.0,Samsung Lions,Kiwoom Heroes,HOME(Samsung Lions),Samsung Lions,1.0,0.85,0.75,0.25,False,,,,,,,,,
2026-05-05,4.0,KT Wiz Suwon,Lotte Giants,HOME(KT Wiz Suwon),KT Wiz Suwon,1.0,0.815,0.51,0.49,False,,,,,,,,,
2026-05-06,1.0,LG Twins,Doosan Bears,HOME(LG Twins),LG Twins,1.0,0.85,0.54,0.46,False,,,,,,,,,
2026-05-06,2.0,KIA Tigers,Hanwha Eagles,HOME(KIA Tigers),Hanwha Eagles,0.0,0.675,0.675,0.325,True,,,,,,,,,
2026-05-06,3.0,Samsung Lions,Kiwoom Heroes,HOME(Samsung Lions),Samsung Lions,1.0,0.6,0.6,0.4,True,,,,,,,,,
2026-05-06,4.0,KT Wiz Suwon,Lotte Giants,PASS,Lotte Giants,,0.0,0.56,0.44,False,,,,,,,,,
2026-05-06,5.0,SSG Landers,NC Dinos,HOME(SSG Landers),SSG Landers,1.0,0.815,0.645,0.355,False,,,,,,,,,
2026-05-07,1.0,LG Twins,Doosan Bears,AWAY(Doosan Bears),Doosan Bears,1.0,0.815,0.64,0.36,False,,,,,,,,,
2026-05-07,2.0,KIA Tigers,Hanwha Eagles,AWAY(Hanwha Eagles),Hanwha Eagles,1.0,0.85,0.585,0.415,False,,,,,,,,,
2026-05-07,3.0,Samsung Lions,Kiwoom Heroes,AWAY(Kiwoom Heroes),Samsung Lions,0.0,0.78,0.635,0.365,False,,,,,,,,,
2026-05-07,5.0,SSG Landers,NC Dinos,PASS,NC Dinos,,0.0,0.565,0.435,False,,,,,,,,,
2026-05-08,1.0,Doosan Bears,SSG Landers,HOME(Doosan Bears),SSG Landers,0.0,0.85,0.515,0.485,False,,,,,,,,,
2026-05-08,2.0,Hanwha Eagles,LG Twins,HOME(Hanwha Eagles),LG Twins,0.0,0.85,0.58,0.42,False,,,,,,,,,
2026-05-08,3.0,Lotte Giants,KIA Tigers,PASS,KIA Tigers,,0.0,0.51,0.49,False,,,,,,,,,
2026-05-08,4.0,Kiwoom Heroes,KT Wiz Suwon,HOME(Kiwoom Heroes),KT Wiz Suwon,0.0,0.815,0.485,0.515,False,,,,,,,,,
2026-05-08,5.0,NC Dinos,Samsung Lions,HOME(NC Dinos),Samsung Lions,0.0,0.815,0.315,0.685,False,,,,,,,,,
2026-05-09,1.0,Hanwha Eagles,LG Twins,AWAY(LG Twins),Hanwha Eagles,0.0,0.85,0.555,0.445,False,,,,,,,,,
2026-05-09,2.0,Doosan Bears,SSG Landers,AWAY(SSG Landers),Doosan Bears,0.0,0.85,0.42,0.58,False,,,,,,,,,
2026-05-09,3.0,Lotte Giants,KIA Tigers,AWAY(KIA Tigers),KIA Tigers,1.0,0.85,0.55,0.45,False,,,,,,,,,
2026-05-09,5.0,NC Dinos,Samsung Lions,PASS,Samsung Lions,,0.0,0.51,0.49,False,,,,,,,,,
2026-05-10,1.0,Doosan Bears,SSG Landers,HOME(Doosan Bears),Doosan Bears,1.0,0.85,0.585,0.415,False,,,,,,,,,
2026-05-10,2.0,Hanwha Eagles,LG Twins,HOME(Hanwha Eagles),Hanwha Eagles,1.0,0.85,0.435,0.565,False,,,,,,,,,
2026-05-10,3.0,Lotte Giants,KIA Tigers,PASS,Lotte Giants,,0.0,0.455,0.545,False,,,,,,,,,
2026-05-10,4.0,Kiwoom Heroes,KT Wiz Suwon,PASS,Kiwoom Heroes,,0.0,0.445,0.555,False,,,,,,,,,
2026-05-10,5.0,NC Dinos,Samsung Lions,HOME(NC Dinos),Samsung Lions,0.0,0.78,0.42,0.58,False,,,,,,,,,
2026-05-12,1.0,KIA Tigers,Doosan Bears,AWAY(Doosan Bears),Doosan Bears,1.0,0.85,0.43,0.57,False,,,,,,,,,
2026-05-12,2.0,Kiwoom Heroes,Hanwha Eagles,HOME(Kiwoom Heroes),Hanwha Eagles,0.0,0.595,0.595,0.405,True,,,,,,,,,
2026-05-12,3.0,KT Wiz Suwon,SSG Landers,AWAY(SSG Landers),SSG Landers,1.0,0.815,0.52,0.48,False,,,,,,,,,
2026-05-12,4.0,LG Twins,Samsung Lions,HOME(LG Twins),Samsung Lions,0.0,0.63,0.63,0.37,True,,,,,,,,,
2026-05-12,5.0,Lotte Giants,NC Dinos,HOME(Lotte Giants),NC Dinos,0.0,0.61,0.61,0.39,True,,,,,,,,,
2026-05-13,1.0,KIA Tigers,Doosan Bears,HOME(KIA Tigers),KIA Tigers,1.0,0.595,0.595,0.405,True,,,,,,,,,
2026-05-13,2.0,Kiwoom Heroes,Hanwha Eagles,HOME(Kiwoom Heroes),Kiwoom Heroes,1.0,0.675,0.675,0.325,True,,,,,,,,,
2026-05-13,3.0,KT Wiz Suwon,SSG Landers,AWAY(SSG Landers),KT Wiz Suwon,0.0,0.585,0.415,0.585,True,,,,,,,,,
2026-05-13,4.0,LG Twins,Samsung Lions,HOME(LG Twins),LG Twins,1.0,0.78,0.63,0.37,False,,,,,,,,,
2026-05-13,5.0,Lotte Giants,NC Dinos,AWAY(NC Dinos),Lotte Giants,0.0,0.85,0.56,0.44,False,,,,,,,,,
2026-05-14,1.0,KIA Tigers,Doosan Bears,AWAY(0),HOME(1),0.0,0.833,0.48,0.52,,배당↑팀이김 10/12(83%) : Doosan Bears (팀패턴일치: 슬롯정배패턴(정배승 18경기(원정정배))),다수결 ↑1 58/85(70%),다수결 ↑1 49/74(63%),[011011010111000101] Mirror [0|1],배당↑팀이김 10/12(83%) : Doosan Bears,,,,
2026-05-14,2.0,Kiwoom Heroes,Hanwha Eagles,AWAY(0),AWAY(0),1.0,0.625,0.395,0.605,,배당↑팀이김 5/8(62%) : Hanwha Eagles (팀패턴일치: 홈 패 패턴(85%) + 원정 승 패턴(85%) ※정배패턴충돌(역배승 18경기(원정정배))),다수결 ↓0 63/78(78%),다수결 ↑1 52/76(66%),[000111010110011010] Mirror [1|0],배당↑팀이김 5/8(62%) : Hanwha Eagles,,,,
2026-05-14,3.0,KT Wiz Suwon,SSG Landers,HOME(1),AWAY(0),0.0,0.917,0.55,0.45,,배당↓팀이김 11/12(92%) : SSG Landers (팀패턴일치: 슬롯정배패턴(정배승 18경기(원정정배))),다수결 ↓0 53/74(69%),다수결 ↓0 51/72(71%),[011100001011101101] Mirror [0|1],배당↓팀이김 11/12(92%) : SSG Landers,,,,
2026-05-14,4.0,LG Twins,Samsung Lions,HOME(1),AWAY(0),0.0,0.727,0.425,0.575,,배당↓팀이김 8/11(73%) : LG Twins (팀패턴충돌: 홈 패 패턴(85%) + 원정 승 패턴(85%) ※정배패턴충돌(정배승 18경기(홈정배))),다수결 ↓0 54/74(70%),다수결 ↑1 51/63(78%),[001000001100101000] 반접기[00|11] + 꼬리[00101000]=끝2연속0→1,배당↓팀이김 8/11(73%) : LG Twins,,,,
2026-05-14,5.0,Lotte Giants,NC Dinos,AWAY(0),AWAY(0),1.0,1.0,0.535,0.465,,배당↑팀이김 11/11(100%) : NC Dinos (팀패턴일치: 슬롯정배패턴(역배승 18경기(홈정배))),다수결 ↓0 76/87(87%),다수결 ↓0 53/79(68%),[010000010100011011] 반접기[100|011] + 꼬리[011]=연속블록→0,배당↑팀이김 11/11(100%) : NC Dinos,,,,
